Relating_Object_Type,Relating_Object_GUID,Related_Object_Type,Related_Object_GUID,Relationship_Type
IfcElementAssembly,03wyvTLHX8jPqb01L2wJaJ,IfcBeam,12GohWEgP44AUzJLN1hfHv,IfcRelAggregates
IfcElementAssembly,2kXjTsAZ5AeOJV8IZTvZfd,IfcBeam,1eOVDy46T6hxT3f7qlzHTO,IfcRelAggregates
IfcElementAssembly,0u6V6LIKDAzx1P$x1Diib_,IfcBeam,1z4hkwhErEsBHqzMB8wsx$,IfcRelAggregates
IfcElementAssembly,1MxEQ$Zlf5YPR5mNRufTum,IfcBeam,3xslQDTw9E$88tlWmhUBqf,IfcRelAggregates
IfcElementAssembly,0YFQiLIv11Huhl8bwYPP7r,IfcBeam,13mlbhE_nAEO6XkT96WYUn,IfcRelAggregates
IfcElementAssembly,2hO4bGzDzC7P8sYHcuLBDz,IfcBeam,32t$StG0z2KOMdcDjJ81wh,IfcRelAggregates
IfcElementAssembly,0u8y9cPVj1KuUt0IyHd$iA,IfcBeam,0qGvlGSQr9qQGXRQbXJgmK,IfcRelAggregates
IfcElementAssembly,3fCZR8G7X358M$eH3_j5k3,IfcBeam,2ySibPBar91vNti3YvzWCX,IfcRelAggregates
IfcElementAssembly,1nOngTww94Vx_O$8m6YDJ$,IfcBeam,0kuEM_uyb2LRXQOhNMPBs4,IfcRelAggregates
IfcElementAssembly,05avtU6xrB_hsstALBTHEq,IfcBeam,0viDwUWRrFDQ5fElXK84SY,IfcRelAggregates
IfcElementAssembly,1Z7WBE$NL9G9qEcT7FnBLV,IfcBeam,2o8TuAHP11lfjFAF6slxX5,IfcRelAggregates
IfcElementAssembly,3RX_B_NSb8G8mdQT2r9bR4,IfcBeam,0NGI8w18P35vu8q1MfXw5F,IfcRelAggregates
IfcElementAssembly,2lZLQthzj8MvZ2FSi8AuE0,IfcBeam,0FEqVvx4v9hgbar7KEF4Ro,IfcRelAggregates
IfcElementAssembly,2wPbDJYnT8Z9hKCwupGZIt,IfcBeam,2Rza$BYmDEzgb7NIpeglSb,IfcRelAggregates
IfcElementAssembly,1f4CLTkMb8NuaTq5XFmwQQ,IfcBeam,2dhvnsUKP1KfxBGfiJKhDI,IfcRelAggregates
IfcElementAssembly,1DBiYcOZTEzOaRmTvnU$0I,IfcBeam,1Fn$AE98L2HgsQhWgTK6_i,IfcRelAggregates
IfcElementAssembly,2G1u10u_r1Oh_NRyebGL88,IfcColumn,28F5KREhL3Kw01QJYlaMZ4,IfcRelAggregates
IfcElementAssembly,38DEbbfw5Aow6nwzVr2WZw,IfcColumn,1wZhIUJnr5geJoZeBhHe34,IfcRelAggregates
IfcElementAssembly,2KVo9mgq50uBo0ke__Y6eL,IfcColumn,1NKT$qHTbEwxF660xemKg8,IfcRelAggregates
IfcElementAssembly,1WjZpWgy9E_g8zpiSUH5Hi,IfcColumn,0s$qXmjPv0pv7eah7OvNN4,IfcRelAggregates
IfcElementAssembly,3KIDRIqovANRuHnBg$HmDl,IfcColumn,27BPljinP0ePx8DCbboFuQ,IfcRelAggregates
IfcElementAssembly,2a_9oAIVb7rvALU6YX4Sx9,IfcColumn,2Nct4KeQn08ANtD46iPKc4,IfcRelAggregates
IfcElementAssembly,0NuWHbivbEswk1_mAL98b8,IfcColumn,1RYLTTlOb9tRrzkD7AZ2sV,IfcRelAggregates
IfcElementAssembly,0aQ1Zhkwj1$hWp3O5mwzrY,IfcColumn,2FgnS94jXCkgx$cjmm5_mT,IfcRelAggregates
